customer_id,customer_name,email,age,region,signup_date,segment
CUST00001,Allison Hill,donaldgarcia@example.net,,East,2026-03-09,Consumer
CUST00002,Javier Johnson,jesseguzman@example.net,61,Central,2023-06-21,Consumer
CUST00003,Kimberly Robinson,lisa02@example.net,,North,2024-05-06,Consumer
CUST00004,Daniel Gallagher,daviscolin@example.com,53,South,2025-01-20,VIP
CUST00005,Monica Herrera,smiller@example.net,35,North,2025-02-11,Consumer
CUST00006,Laura Bush,stanleykendra@example.org,27,South,2026-01-15,Consumer
CUST00007,Jamie Chavez,francisco53@example.net,40,East,2023-09-27,VIP
CUST00008,Maria Lynch,amandasanchez@example.com,,West,2024-03-06,VIP
CUST00009,Margaret Hawkins DDS,perezantonio@example.com,23,Central,2024-04-06,Consumer
CUST00010,Thomas Bradley,jason76@example.net,73,East,2024-06-27,VIP
CUST00011,David Hoffman,julie69@example.com,,South,2024-02-10,Consumer
CUST00012,Brenda Snyder PhD,hernandezernest@example.net,73,North,2024-05-06,Business
CUST00013,James Ferrell,tasha01@example.net,41,South,2026-02-27,Consumer
CUST00014,Patricia Peterson,ryan70@example.net,62,North,2026-02-14,VIP
CUST00015,Jonathan White,harrellkenneth@example.net,33,South,2024-09-05,Business
CUST00016,James Martin,georgetracy@example.org,58,Central,2026-05-01,Consumer
CUST00017,Sandra Parker,allenashley@example.org,67,North,2023-01-10,Consumer
CUST00018,Mr. Philip Cannon,donnaarroyo@example.org,43,East,2023-09-24,Consumer
CUST00019,Jenny Lewis,jenniferross@example.net,74,East,2025-03-27,Consumer
CUST00020,Joseph Martinez,calebsmith@example.net,59,West,2023-08-05,Consumer
CUST00021,Benjamin Welch,carlosjohnson@example.com,53,Central,2022-12-20,Consumer
CUST00022,Michael Lewis,jenniferkhan@example.net,55,West,2024-07-17,Consumer
CUST00023,Rhonda Lee,hopkinsmichael@example.com,50,West,2024-07-09,Consumer
CUST00024,Megan Joyce,brownjessica@example.org,27,South,2023-08-31,Business
CUST00025,Jerry Henderson,steven17@example.net,56,West,2023-01-28,VIP
CUST00026,Kimberly Smith,housemelinda@example.org,18,North,2024-04-13,VIP
CUST00027,Dr. Steven Martin,gallowayjoseph@example.com,39,North,2023-10-23,Consumer
CUST00028,Monica Logan,smoore@example.org,64,East,2026-06-27,VIP
CUST00029,Kimberly Adkins,williamsthomas@example.net,24,East,2023-04-23,VIP
CUST00030,Angela Lopez,leonardjoe@example.org,66,South,2026-05-19,VIP
CUST00031,Lauren Williams,barnesbrandy@example.net,18,Central,2023-12-06,Consumer
CUST00032,Michael Edwards,randy47@example.com,41,East,2026-05-01,Consumer
CUST00033,Alexandra Howell,,23,North,2024-11-23,Business
CUST00034,Joshua Wagner,sarahibarra@example.org,52,South,2024-02-20,Consumer
CUST00035,Roy Warner,contrerasangela@example.net,28,East,2023-02-05,VIP
CUST00036,Deborah Preston,josephjacobs@example.net,31,Central,2024-01-13,Consumer
CUST00037,Sarah Wagner,rebecca01@example.net,60,East,2024-05-08,Business
CUST00038,Aaron Wise,evan78@example.net,33,South,2024-05-14,Consumer
CUST00039,Benjamin Ware,amydavenport@example.net,32,Central,2024-11-08,Consumer
CUST00040,Andrew Diaz,,21,South,2026-05-07,Consumer
CUST00041,Amanda Howard,elizabethgomez@example.net,22,Central,2026-02-26,Consumer
CUST00042,Marc Moore,michellecherry@example.org,52,South,2026-02-22,VIP
CUST00043,Norman Cook,vpham@example.org,48,West,2023-09-26,Consumer
CUST00044,Ashley Brennan,dwalker@example.com,40,West,2023-11-20,Business
CUST00045,Crystal Johnson,raymondramirez@example.org,61,North,2026-06-24,Consumer
CUST00046,Martin Ross,sheila14@example.org,73,North,2024-12-18,Consumer
CUST00047,Mrs. Linda Reed,samuel81@example.com,26,West,2026-03-20,Consumer
CUST00048,Andrew Graham,michaeljones@example.net,22,West,2026-04-19,VIP
CUST00049,Mary Martinez,william65@example.com,52,North,2025-06-03,Consumer
CUST00050,Cheryl Ortega,lbyrd@example.net,28,West,2024-12-02,Business
CUST00051,Roy Torres,russellcarpenter@example.net,75,North,2023-12-15,Consumer
CUST00052,Michael Dixon,donnacampbell@example.net,34,West,2025-03-03,Consumer
CUST00053,Robert Potter,jeffrey32@example.org,68,Central,2022-11-15,Business
CUST00054,Miss Patricia Gibson,jennifercruz@example.com,21,Central,2023-08-25,VIP
CUST00055,Abigail Potter,osbornejeffery@example.net,21,Central,2024-09-20,Business
CUST00056,David Charles,danderson@example.net,28,North,2024-10-09,VIP
CUST00057,Emily Fischer,usalazar@example.net,56,North,2024-05-12,Consumer
CUST00058,Jill Moore,wcole@example.org,54,South,2025-12-24,VIP
CUST00059,Richard Washington,joshuajones@example.com,44,Central,2023-08-11,VIP
CUST00060,Steven Miller,jessebenson@example.net,31,East,2023-07-13,Consumer
CUST00061,Gary Owens,clarkrobert@example.net,59,East,2026-05-25,Business
CUST00062,Spencer Johnston,wsmith@example.com,22,North,2025-08-23,Business
CUST00063,Tiffany Barnes,tracynelson@example.com,24,North,2022-10-21,VIP
CUST00064,Michael Powell,marycalhoun@example.net,40,North,2024-10-13,Consumer
CUST00065,Leslie Alvarado,dayderek@example.com,71,Central,2023-05-28,Consumer
CUST00066,Garrett Gibson,kathleen64@example.com,59,Central,2023-09-06,Consumer
CUST00067,Alec Ryan,jeffrey10@example.org,60,North,2026-05-30,Consumer
CUST00068,Alex Hernandez,thomaswilson@example.org,65,Central,2024-07-06,Consumer
CUST00069,Jacob Obrien,stricklandfrank@example.com,63,East,2023-02-11,Consumer
CUST00070,Eric Byrd,tsanders@example.org,50,West,2022-12-27,Consumer
CUST00071,Lori Garcia,melissa91@example.net,23,West,2025-10-03,Consumer
CUST00072,Jeffrey Wood,,26,East,2024-09-03,Consumer
CUST00073,Samuel Short,hamiltonmichael@example.com,45,Central,2025-06-18,Consumer
CUST00074,Nicholas Sheppard,christina87@example.com,62,South,2024-05-25,VIP
CUST00075,Debra Christian,,53,South,2025-12-11,Business
CUST00076,Stephen Sanchez,qhudson@example.com,75,North,2024-01-04,Consumer
CUST00077,Frederick Freeman MD,matthew94@example.net,24,East,2022-09-24,VIP
CUST00078,Angela Cortez,ppeters@example.net,57,South,2024-07-22,Consumer
CUST00079,Joan Smith,jeffrey34@example.net,69,South,2024-12-20,Business
CUST00080,Joseph Coleman,,39,West,2025-08-12,Consumer
CUST00081,Michael Nelson,jerry35@example.org,24,West,2025-08-08,Consumer
CUST00082,Melissa Lee,lhill@example.net,70,West,2025-01-11,Consumer
CUST00083,Dr. Elizabeth Ward,alexis82@example.com,32,South,2022-11-14,Consumer
CUST00084,Edgar Raymond,agarcia@example.net,35,North,2023-10-21,Consumer
CUST00085,Glen Sheppard,shelley71@example.org,61,Central,2024-04-05,Consumer
CUST00086,Mark Brown,lisaavery@example.org,34,South,2026-08-02,VIP
